日期,时间,会议名称,地点,推荐理由,优先级
5月8日,10:40 - 11:00,铂金企业宣讲 - AutoDL,主会场,破解用卡难复现难解决方案,中
5月8日,15:15 - 18:00,张正 - 端侧轻量化大模型,主会场,完全对口模型轻量化方向,高
5月8日,15:15 - 18:00,戴国浩 - 大模型高效计算与推理,主会场,从计算架构优化角度探讨大模型高效运行,高
5月8日,15:15 - 18:00,仉尚航 - 开放世界具身智能多模态大模型与大数据,主会场,具身智能方向的必听进展,高
5月8日,15:15 - 18:00,郝建业 - 基于大语言模型的智能体,主会场,智能体技术是实现多机器人协作的底层逻辑,高
5月9日,08:30 - 12:00,Workshop 1: VLA,5F汉卷厅,核心主场 - VLA模型是当前具身机器人主流架构,高
5月9日,08:30 - 12:00,Tutorial 1: 智能体AI,5F汉旗厅,多机器人协同和多智能体交互策略,中
5月9日,12:00 - 13:30,海报环节 Poster,场馆内,搜寻Memory Module、Lightweight、VLA、Multi-Agent相关Poster,中
5月9日,13:30 - 17:00,Tutorial 3: 具身智能基础模型,5F汉旗厅,了解具身领域基础模型设计,高
5月10日,08:30 - 12:00,Workshop 17: 持续学习与持续智能体,3F江穆厅,持续学习是实现具身智能记忆功能的核心技术,高
5月10日,08:30 - 12:00,Workshop 12: 世界模型,5F汉旗厅,赋予机器人理解物理世界运转规律的能力,高
5月10日,08:30 - 12:00,Workshop 18: 自动驾驶,3F江耀厅,最成熟的轻量化端侧部署经验和多车协作落地案例,中
